연번,호선,역명,상세위치,소형(개수),중형(개수),대형(개수),특대형(개수),이용요금,운영사
1,1,다대포해수욕장,(B1) 대합실 고객센터 근처,10,8,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
2,1,다대포항,"(B1) 표내는 곳 인근, 1번 엘리베이터 옆",10,8,0,2,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
3,1,하단,"(B1) 1번 엘리베이터 옆, 3번출입구 방향",10,16,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
4,1,괴정,(B1) 3번출입구 방향,10,8,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
5,1,토성,"(B1) 표내는 곳 인근, 3번출입구 방향",10,8,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
6,1,자갈치,"(B1) 표내는 곳 인근, 3번출입구 방향",34,42,4,27,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
7,1,남포,"(B1) 표내는 곳 인근, 2, 5번출입구 방향",33,45,0,42,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
8,1,중앙,(B1) 14번출입구 방향,10,16,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
9,1,부산,"(B1) 3번, 4번, 6번 출입구 방향",18,52,6,56,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
10,1,초량,(B1) 8번출입구 방향,10,8,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
11,1,부산진,"(B1) 2번 엘리베이터 옆, 6번출입구 방향",10,8,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
12,1,범일,"(B1) 대합실 고객센터 근처, 3번출입구 방향",10,16,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
13,1,범내골,"(B1) 대합실 고객센터 근처, 8번출입구 방향",6,8,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
14,1,서면,"(B1) 표내는 곳 인근, 2호선 환승계단, 13번 출구 인근 ",38,64,14,46,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
15,1,부전,"(B1) 표내는 곳 인근, 만남의 장소 인근",10,12,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
16,1,양정,"(B1) 표내는 곳 인근, 화장실 옆",10,8,0,2,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
17,1,시청,"(B1) 표내는 곳 인근, 1번 엘리베이터 옆",6,10,0,3,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
18,1,연산,"(B1) 표내는 곳 인근, (B1) 12번출입구 방향",6,14,0,5,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
19,1,동래,(1F) 1번 출입구 방향,9,14,0,6,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
20,1,명륜,(1F) 2번 출입구 방향,10,8,0,2,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
21,1,온천장,(1F) 3번 출입구 방향,10,8,0,4,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
22,1,부산대,(1F) 4번 출입구 방향,12,26,0,9,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
23,1,장전,(1F) 4번 출입구 방향,10,8,0,2,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
24,1,노포,(1F) 대합실 고객센터 근처,10,8,0,2,"특대: 6,000원 / 대:4,000원 / 중: 3,000원 / 소: 2,000원(3시간당)",위드락커
25,2,장산,(B1) 표 내는 곳 앞쪽,20,0,8,4,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,750원 (주말)",㈜테크앤롤
26,2,중동,(B1) 화장실 근처,15,0,6,3,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,751원 (주말)",㈜테크앤롤
27,2,해운대,(B1) 7번 출입구 방향,85,0,40,29,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,752원 (주말)",㈜테크앤롤
28,2,동백,(B1) 1번 출입구 방향,16,0,4,4,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,753원 (주말)",㈜테크앤롤
29,2,벡스코,(B1) 5번 출입구 방향,18,0,12,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,754원 (주말)",㈜테크앤롤
30,2,센텀시티,(B1) GS편의점 근처 ,70,0,28,14,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,755원 (주말)",㈜테크앤롤
31,2,수영,(B1) 11번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,756원 (주말)",㈜테크앤롤
32,2,광안,(B1) 5번 출입구 방향,50,0,20,10,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,757원 (주말)",㈜테크앤롤
33,2,금련산,(B2) 1번 출입구 방향,28,0,16,4,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,758원 (주말)",㈜테크앤롤
34,2,남천,(B1) 2번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,759원 (주말)",㈜테크앤롤
35,2,경성대부경대,(B1) 고객센터 맞은편,20,0,8,4,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,760원 (주말)",㈜테크앤롤
36,2,대연,(B1) 1번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,761원 (주말)",㈜테크앤롤
37,2,못골,(B1) 1번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,762원 (주말)",㈜테크앤롤
38,2,국제금융센터,(B1) 1번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,763원 (주말)",㈜테크앤롤
39,2,전포,(B1) 현금지급기 옆,32,0,26,14,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,764원 (주말)",㈜테크앤롤
40,2,서면,(B1) 서면롯데백화점 출입구 방향,58,0,22,30,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,765원 (주말)",㈜테크앤롤
41,2,동의대,(B1) 1번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,766원 (주말)",㈜테크앤롤
42,2,개금,"(B1) 1,3번 출입구 방향",10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,767원 (주말)",㈜테크앤롤
43,2,냉정,(B1) 1번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,768원 (주말)",㈜테크앤롤
44,2,주례,"(B1) 1,3번 출입구 방향",10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,769원 (주말)",㈜테크앤롤
45,2,사상,(B1) 5번 출입구 방향,36,0,12,8,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,770원 (주말)",㈜테크앤롤
46,2,모라,(B1) 1번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,771원 (주말)",㈜테크앤롤
47,2,덕천,(B1) GS편의점 맞은편,11,0,2,3,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,772원 (주말)",㈜테크앤롤
48,2,화명,(B1) 3번 출입구 방향,5,0,2,1,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,773원 (주말)",㈜테크앤롤
49,2,남양산,(2F) 3번 출입구 방향,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,774원 (주말)",㈜테크앤롤
50,2,양산,(2F) 고객센터 근처,10,0,4,2,"특대: 6,000원 / 대:4,500원 /  소: 2,500원 (평일), 특대: 6,600원 / 대: 4,950원 / 소: 2,775원 (주말)",㈜테크앤롤
51,3,수영,(B1) 8번 출입구 방향,10,0,6,4,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
