"역번호","역명","외부역번호","호선","문화공간여부","휠체어리프트여부","만남의장소여부","환승주차장여부","자전거보관소여부","엘리베이터여부","유인물품보관소여부","무인민원발급기여부","환전키오스크여부","수유실여부"
"0150",서울역,"133","01호선",N,N,Y,N,N,Y,Y,N,N,N
"0151",시청,"132","01호선",N,N,Y,N,N,Y,N,N,N,Y
"0152",종각,"131","01호선",N,N,N,N,Y,Y,N,Y,N,N
"0153",종로3가,"130","01호선",Y,N,N,N,N,Y,N,N,N,Y
"0154",종로5가,"129","01호선",N,N,N,N,N,Y,N,N,N,N
"0155",동대문,"128","01호선",N,N,Y,N,Y,Y,N,N,N,Y
"0156",신설동,"126","01호선",N,N,N,N,N,Y,N,N,N,N
"0157",제기동,"125","01호선",N,N,N,N,Y,Y,N,N,N,N
"0158",청량리,"124","01호선",N,N,N,N,N,Y,N,N,N,N
"0159",동묘앞,"127","01호선",N,N,N,N,Y,Y,N,N,N,N
"0200",까치산,"234-4","02호선",N,Y,N,N,N,N,N,N,N,Y
"0201",시청,"201","02호선",N,N,N,N,N,Y,N,N,N,Y
"0202",을지로입구,"202","02호선",N,N,N,N,N,Y,N,Y,Y,N
"0203",을지로3가,"203","02호선",N,N,N,N,N,Y,N,N,Y,N
"0204",을지로4가,"204","02호선",N,N,Y,N,N,Y,N,N,N,N
"0205",동대문역사문화공원,"205","02호선",N,N,N,N,Y,Y,N,N,Y,N
"0206",신당,"206","02호선",N,N,Y,N,N,Y,N,N,N,N
"0207",상왕십리,"207","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0208",왕십리,"208","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0209",한양대,"209","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0210",뚝섬,"210","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0211",성수,"211","02호선",Y,N,Y,N,Y,Y,N,Y,N,Y
"0212",건대입구,"212","02호선",N,N,Y,N,Y,Y,N,Y,N,N
"0213",구의,"213","02호선",N,N,Y,N,Y,Y,N,Y,N,N
"0214",강변,"214","02호선",N,N,N,N,Y,Y,N,N,N,Y
"0215",잠실나루,"215","02호선",N,N,Y,Y,Y,Y,N,N,N,N
"0216",잠실,"216","02호선",N,N,N,N,Y,Y,Y,N,Y,Y
"0217",잠실새내,"217","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0218",종합운동장,"218","02호선",Y,N,Y,N,N,Y,Y,N,N,N
"0219",삼성,"219","02호선",N,N,N,N,Y,Y,N,Y,Y,Y
"0220",선릉,"220","02호선",Y,N,N,N,N,Y,N,Y,Y,N
"0221",역삼,"221","02호선",N,N,Y,N,N,Y,N,Y,Y,N
"0222",강남,"222","02호선",N,N,N,N,N,Y,N,Y,Y,Y
"0223",교대,"223","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0224",서초,"224","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0225",방배,"225","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0226",사당,"226","02호선",Y,N,Y,Y,Y,Y,N,N,N,N
"0227",낙성대,"227","02호선",N,N,Y,N,N,Y,N,Y,N,N
"0228",서울대입구,"228","02호선",Y,N,Y,N,Y,Y,N,Y,N,N
"0229",봉천,"229","02호선",N,N,N,N,N,Y,N,Y,N,N
"0230",신림,"230","02호선",N,N,Y,Y,Y,Y,N,Y,N,Y
"0231",신대방,"231","02호선",N,N,Y,Y,Y,Y,N,N,N,N
"0232",구로디지털단지,"232","02호선",N,N,Y,Y,Y,Y,N,Y,N,N
"0233",대림,"233","02호선",N,N,Y,N,Y,Y,N,N,N,Y
"0234",신도림,"234","02호선",N,N,N,N,Y,Y,N,N,N,N
"0235",문래,"235","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0236",영등포구청,"236","02호선",N,N,Y,Y,N,Y,N,N,N,Y
"0237",당산,"237","02호선",N,N,Y,N,N,Y,N,Y,N,N
"0238",합정,"238","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0239",홍대입구,"239","02호선",N,N,Y,N,Y,Y,Y,N,Y,N
"0240",신촌,"240","02호선",N,N,Y,N,N,Y,N,Y,Y,Y
"0241",이대,"241","02호선",N,N,N,N,Y,Y,N,N,Y,N
"0242",아현,"242","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0243",충정로,"243","02호선",N,N,Y,N,N,Y,N,Y,N,N
"0244",용답,"211-1","02호선",N,N,N,N,Y,Y,N,N,N,N
"0245",신답,"211-2","02호선",N,N,N,N,Y,Y,N,N,N,N
"0246",신설동,"211-4","02호선",N,N,N,N,Y,Y,N,N,N,Y
"0247",도림천,"234-1","02호선",N,N,N,N,Y,Y,N,N,N,N
"0248",양천구청,"234-2","02호선",N,N,Y,N,Y,Y,N,N,N,N
"0249",신정네거리,"234-3","02호선",N,N,Y,N,N,Y,N,N,N,N
"0250",용두,"211-3","02호선",N,N,N,N,Y,Y,N,N,N,N
"0309",지축,"319","03호선",N,N,N,N,Y,Y,N,N,N,N
"0310",구파발,"320","03호선",N,N,Y,Y,Y,Y,N,Y,N,Y
"0311",연신내,"321","03호선",N,N,N,N,Y,Y,N,Y,N,N
"0312",불광,"322","03호선",N,N,Y,N,Y,Y,N,Y,N,N
"0313",녹번,"323","03호선",N,N,N,N,Y,Y,N,N,N,N
"0314",홍제,"324","03호선",N,N,Y,N,Y,Y,N,Y,N,N
"0315",무악재,"325","03호선",N,N,Y,N,Y,Y,N,N,N,N
"0316",독립문,"326","03호선",N,N,N,N,Y,Y,N,N,N,Y
"0317",경복궁,"327","03호선",Y,N,Y,N,Y,Y,N,Y,Y,N
"0318",안국,"328","03호선",Y,N,Y,N,Y,Y,N,N,Y,N
"0319",종로3가,"329","03호선",N,N,Y,N,N,Y,N,N,N,Y
"0320",을지로3가,"330","03호선",N,N,Y,N,N,Y,N,N,N,N
"0321",충무로,"331","03호선",N,N,N,N,N,N,N,N,N,N
"0322",동대입구,"332","03호선",N,N,Y,N,N,Y,N,N,N,N
"0323",약수,"333","03호선",N,N,Y,N,N,Y,N,Y,N,N
"0324",금호,"334","03호선",Y,N,N,N,Y,Y,N,Y,N,N
"0325",옥수,"335","03호선",N,N,Y,N,Y,Y,N,Y,N,Y
"0326",압구정,"336","03호선",N,N,Y,N,Y,Y,N,Y,Y,N
"0327",신사,"337","03호선",N,N,Y,N,Y,Y,N,Y,Y,N
"0328",잠원,"338","03호선",N,N,Y,N,Y,Y,N,N,N,N
"0329",고속터미널,"339","03호선",N,N,N,N,N,Y,N,N,Y,Y
"0330",교대,"340","03호선",N,N,Y,N,Y,Y,N,Y,N,N
"0331",남부터미널,"341","03호선",N,N,Y,N,N,Y,N,N,N,N
"0332",양재,"342","03호선",N,N,N,N,N,Y,N,N,N,Y
"0333",매봉,"343","03호선",N,N,N,N,N,Y,N,N,N,N
"0334",도곡,"344","03호선",N,N,Y,N,Y,N,N,N,N,Y
