철도운영기관명,운영기관코드,운영노선명,노선코드,역명,역코드,관리번호,지상지하구분,지상지하구분코드,역층,상세위치,금융기관명,이용가능시간,연락처,데이터기준일자,참고사항
공항철도,AR,공항철도선,A1,서울역,0296,1,지하,2,3,(B3) 표내는 곳 내 GS편의점 옆,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,공덕역,0054,2,지하,2,3,"(B3) 고객안내센터 근처, 9, 10번 출입구 방향",KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,DMC역,0174,3,지하,2,1,"(B1) 고객안내센터 근처 8, 9번 출입구 방향",KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,마곡나루역,0178,4,지하,2,1,(B1) 대합실 6번 출입구 방향,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,김포공항역,0099,5,지하,2,1,(B1) 표 내는 곳 내 고객안내센터 근처,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,계양역,0045,6,지상,1,1,(1) 표내는 곳 내 인천1호선 환승통로 방향,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,검암역,0035,7,지상,1,1,(1) 대합실 내 1번 출입구 방향,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,청라국제도시역,0551,8,지상,1,1,(1) 대합실 내 1번 출입구 방향,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,영종역,0423,9,지상,1,3,(B3) 고객안내센터 근처,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,운서역,0452,10,지상,1,1,(1) 대합실 내 표내는 곳 근처,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,인천공항1터미널,0484,11,지하,2,1,(B1) 표내는 곳 내 고객안내센터 근처,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,인천공항1터미널,0484,12,지하,2,1,(B1) 표내는 곳 내 고객안내센터 근처,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,인천공항2터미널,0485,13,지하,2,1,(B1) 표내는 곳 내 고객안내센터 근처,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,인천공항2터미널,0485,14,지하,2,1,(B1) 표내는 곳 내 고객안내센터 근처,KB국민은행,05:00~01:00,1566-0022,20251231,
공항철도,AR,공항철도선,A1,청라국제도시역,0551,15,지상,1,1,(1) 1번 출입구 근처,하나은행,08:00~22:00,1599-9461,20251231,
공항철도,AR,공항철도선,A1,서울역,0296,16,지하,2,2,(B2) 도심공항터미널 근처,신한은행,06:00~23:30,1599-8000,20251231,
공항철도,AR,공항철도선,A1,서울역,0296,17,지하,2,3,(B3) 고객안내센터 근처,신한은행,05:00~24:00,1599-8000,20251231,
공항철도,AR,공항철도선,A1,홍대입구역,0596,18,지하,2,2,"(B2) 대합실 내 6,7번 출입구 방향",신한은행,05:00~24:00,1599-8000,20251231,
공항철도,AR,공항철도선,A1,홍대입구역,0596,19,지하,2,2,"(B2) 대합실 내 6,7번 출입구 방향",신한은행,05:00~24:00,1599-8000,20251231,
공항철도,AR,공항철도선,A1,인천공항1터미널,0484,20,지하,2,1,(B1) 표내는 곳 내 고객안내센터 근처,신한은행,05:00~24:00,1599-8000,20251231,
공항철도,AR,공항철도선,A1,인천공항1터미널,0484,21,지하,2,1,(B1) 표내는 곳 내 고객안내센터 근처,신한은행,05:00~24:00,1599-8000,20251231,
